Location,Name,URL
Afghanistan,Kabuli Palaw,http://afghankitchenrecipes.blogspot.com/2013/01/kabuli-palaw.html
Albania,Tavë kosi,https://suite.io/cristina-pinton/4vtv23f
Algeria,Couscous,http://www.culinarycoutureblog.com/2011/12/algerian-couscous-with-vegetables.html
American Samoa,Luau Palusami,http://www.food.com/recipe/luau-palusami-american-samoa-499887
Andorra,Escudella,http://www.roastedmontreal.com/2010/11/andorras-national-dish-escudella.html
Angola,Muamba de galinha,http://wherethefoodis.wordpress.com/2011/10/02/angola-%E2%9D%80-muamba-de-galinha-chicken-stew-with-palm-oil/
Antigua and Barbuda,Pepperpot and fungee,http://caribbean-beat.com/issue-122/erna-mae-tonge-recipe-magic#axzz3JC70pJ3T
Argentina,Asado,http://www.instructables.com/id/Asado-Argentino-Argentinian-BBQ/
Armenia,Harissa,http://wherethefoodis.wordpress.com/2011/10/16/armenia-%E2%9D%80-harissa-chicken-porridge-and-lavash-bread/
Aruba,Keshi yena,http://tastydesu.wordpress.com/2011/09/12/keshi-yena/
Australia,Roast Lamb,http://australianfood.about.com/od/meats/r/LambRoast.htm
Austria,Tafelspitz,http://cooking.nytimes.com/recipes/10931-tafelspitz-austrian-boiled-beef-with-apple-horseradish
Azerbaijan,Dolma,http://www.azcookbook.com/2008/01/16/stuffed-grape-leaves/
Bahamas,Conch,http://recipes.sparkpeople.com/recipe-detail.asp?recipe=10025
Bahrain,Bahrain,http://www.daringgourmet.com/2013/03/25/chicken-machboos-bahraini-chicken-rice/
Bangladesh,Egg Biryani,http://myhungrytum.wordpress.com/2010/02/01/egg-biryani-%E2%80%93-bangladesh-national-dish-%E2%80%93-day-26dish/
Barbados,Flying Fish and Cou-Cou,http://parlourmagazine.com/2012/09/flying-fish-and-cou-cou-barbados-national-dish/
Belarus,Draniki,http://www.belarusianfood.com/2009/05/draniki.html
Belgium,Moules Frites,http://www.bloggingoverthyme.com/2012/11/27/classic-moules-frites/
Belize,Boil Up,http://belizemomsknowbest.blogspot.com/2012/03/belizean-boil-up-or-should-i-say.html
Benin,Kuli Kuli,http://myhungrytum.wordpress.com/2010/02/09/kuli-kuli-%E2%80%93-benin-national-dish-%E2%80%93-day-34dish-18/
Bermuda,Bermuda fish chowder,http://whatscookingamerica.net/History/Chowder/BermudaFishChowder.htm
Bhutan,Ema datshi,http://www.myfudo.com/tastily-touring-visiting-bhutan-a-ema-dashi-recipe-hot-and-spicy/
Bolivia,Salteñas,http://dulceandsalado.com/2013/01/03/saltenas/
Bosnia and Herzegovina,ćevapi,http://www.seriouseats.com/recipes/2013/09/grilling-cevapi-southeastern-european-meat-and-onion-sausages-recipe.html
Botswana,Seswaa,http://www.theguardian.com/world/2012/oct/29/food-and-drink-africa
Brazil,Feijoada,http://www.smithsonianmag.com/arts-culture/Celebrate-Brazil-with-Emerils-Feijoada-180951699/?no-ist
Brunei Darussalam,Ambuyat,http://cookedearthblog.com/2012/05/09/nation-of-brunei-abode-of-peace/
Bulgaria,Kavarma,http://sharemykitchen.com/recipes/traditional-bulgarian-recipes/traditional-bulgarian-main-courses/kavarma-bulgarian-pork-and-vegetables-stew/
Burkina Faso,Riz Gras,http://travelbystove.blogspot.com/2012/07/recipes-from-burkina-faso.html#.VGgTnZOUeQw
Burundi,Elephant Soup,http://www.nationaldish.org/403/burundi-national-dish/
Cambodia,Amok,http://www.fairlycambodian.com/may-amok-recipe/
Cameroon,Ndolé,http://www.wander-crush.com/2013/11/21/ndole/
Canada,Poutine,http://www.seasonsandsuppers.ca/authentic-canadian-poutine-recipe/
